,model_type,seq_len,hidden_size,num_layers,dropout,lr,batch_size,val_mae,val_rmse
0,RNN,30,128,2,0.2,0.001,32,413.5728484122984,504.9921161851343
1,RNN,30,256,2,0.2,0.0003,32,445.914542905746,547.4383390495414
2,RNN,30,128,1,0.2,0.001,32,448.7309097782258,567.7103277769023
3,RNN,30,256,2,0.1,0.0003,32,461.6453030493952,552.3712270619523
4,RNN,30,64,2,0.2,0.001,32,468.5395901587702,554.5402003651717
5,RNN,30,64,2,0.0,0.001,32,472.3931609122984,581.4618929175172
6,RNN,30,64,2,0.2,0.0003,32,472.7962607106855,576.7816360500483
7,LSTM,30,256,2,0.2,0.0003,32,473.0154596144153,632.6267793318112
8,RNN,30,128,2,0.2,0.0003,32,473.10389364919354,578.07900450196
9,RNN,30,128,2,0.1,0.001,32,473.968757875504,548.9171799579917
10,RNN,30,32,2,0.0,0.001,32,475.4118179813508,585.0034873334703
11,GRU,30,256,2,0.2,0.0001,32,476.04019657258067,616.0775062643029
12,GRU,30,64,2,0.2,0.0003,32,476.2323431199597,623.3219137324324
13,LSTM,30,64,1,0.0,0.001,32,477.07322643649195,629.9274471865137
14,RNN,30,128,2,0.2,0.0003,64,478.1387112525202,586.8927692596818
15,LSTM,30,64,1,0.2,0.0003,32,478.2882591985887,634.5379595180015
16,GRU,30,256,2,0.2,0.0003,32,479.3929719002016,598.4318604613137
17,LSTM,30,128,2,0.1,0.001,32,479.692130796371,664.2669248877631
18,GRU,30,256,2,0.1,0.0003,32,481.0806451612903,618.4078238181023
19,LSTM,30,128,1,0.0,0.0003,32,481.38900264616933,639.3242766677746
20,RNN,30,256,2,0.0,0.0003,32,482.1921622983871,592.6457134530242
21,GRU,30,256,2,0.0,0.0001,32,483.26185263356854,640.8708251505454
22,RNN,30,128,1,0.0,0.0003,32,484.53968466481854,590.202976773768
23,RNN,30,32,2,0.2,0.0003,32,484.6717568674395,616.5611307401905
24,GRU,30,256,2,0.0,0.0003,32,485.31663463961695,610.3924647272906
25,GRU,30,256,1,0.0,0.0001,32,485.6176285282258,614.994866178923
26,GRU,30,256,1,0.2,0.0001,32,489.1754189768145,612.7092576964545
27,GRU,30,256,1,0.2,0.001,32,489.806160219254,586.0429367668156
28,LSTM,30,128,1,0.2,0.0003,32,489.85931199596774,633.8287741208965
29,LSTM,30,256,2,0.2,0.001,32,490.440681703629,654.2069519077701
30,LSTM,30,256,2,0.0,0.0003,32,490.6294181577621,633.8778298082563
31,GRU,30,128,2,0.1,0.0003,32,490.9141097530242,643.1094433688139
32,GRU,30,256,2,0.2,0.001,64,490.9905730216734,647.6783665243771
33,LSTM,30,256,1,0.0,0.0001,32,491.4413826234879,639.1131644838824
34,GRU,30,128,1,0.0,0.0001,32,491.85226341985884,625.7883443424855
35,GRU,30,128,2,0.0,0.0003,32,492.01112021169354,639.6816009378491
36,GRU,30,256,1,0.2,0.0003,32,492.0803458921371,635.9936675749594
37,LSTM,30,256,1,0.0,0.0003,32,492.26332535282256,654.4975450135199
38,RNN,30,128,1,0.0,0.001,32,493.25531596522177,598.8986820171074
39,GRU,30,256,1,0.2,0.001,64,493.48362682711695,660.6710410518461
40,GRU,30,128,1,0.0,0.0003,32,494.49212449596774,619.1916363028616
41,GRU,30,128,2,0.2,0.0001,32,495.39431861139116,644.7532786154783
42,LSTM,30,256,2,0.1,0.001,32,495.4354996219758,668.6515516132193
43,LSTM,30,64,2,0.1,0.001,32,495.6826644405242,679.6646972821229
44,RNN,30,256,2,0.1,0.0001,32,495.8842300907258,611.9346640586296
45,GRU,30,64,2,0.2,0.001,32,496.2685074344758,636.4101311119445
46,LSTM,30,128,1,0.0,0.0001,32,497.2841324344758,638.2282925015977
47,GRU,30,128,2,0.1,0.001,32,497.70944115423384,609.41340254352
48,GRU,30,256,2,0.2,0.001,32,497.7214827998992,628.9221163625774
49,RNN,30,128,1,0.1,0.001,32,497.7915432837702,615.545405246513
50,LSTM,30,128,1,0.2,0.001,32,497.98702904485884,636.8322118561869
51,LSTM,30,256,1,0.1,0.0001,32,498.1407903855847,657.7640323155441
52,GRU,30,128,2,0.1,0.0001,32,499.1177939138105,653.6524331883957
53,GRU,30,128,2,0.1,0.001,64,499.265388734879,674.0598284436428
54,LSTM,30,256,2,0.2,0.0001,32,499.6559586063508,668.946902837305
55,GRU,30,64,2,0.0,0.001,32,499.6836882560484,613.1332733264097
56,GRU,30,32,2,0.1,0.001,32,499.72849987399195,634.8204033791728
57,GRU,30,256,1,0.0,0.001,32,499.92413526965726,603.842222785173
58,GRU,30,64,1,0.2,0.0003,32,499.9317193800403,619.3727321246636
59,GRU,30,128,1,0.1,0.0001,32,500.1494376890121,645.7393407259767
60,RNN,30,32,2,0.1,0.0003,32,500.32174584173384,619.9849255375234
61,LSTM,30,256,1,0.2,0.0001,32,500.32855027721774,655.79460394776
62,GRU,30,256,2,0.1,0.0001,32,500.36092647429433,652.7062422485021
63,RNN,30,256,2,0.1,0.001,32,500.5085921748992,625.3814080290807
64,GRU,30,256,1,0.0,0.0003,32,500.74102192540323,644.5544891570792
65,LSTM,30,256,2,0.0,0.001,32,500.825927734375,646.6711294377643
66,GRU,30,128,2,0.2,0.001,32,501.0867171748992,619.0713924144466
67,LSTM,30,128,1,0.2,0.0001,32,501.2674127394153,662.7721266658626
68,GRU,30,256,2,0.0,0.001,32,501.4488486013105,612.8044081903063
69,GRU,30,128,1,0.1,0.0003,32,501.82302954889116,629.0198872380711
70,LSTM,30,128,1,0.1,0.001,32,501.95703125,648.3875352380263
71,GRU,30,128,2,0.0,0.001,32,502.0780462449597,646.8898352380673
72,RNN,30,128,1,0.1,0.0003,32,503.28192729334677,615.4375071741281
73,GRU,30,128,1,0.2,0.0003,32,503.53089560231854,634.0585366065686
74,LSTM,30,256,2,0.1,0.0003,32,503.56700478830646,652.615987058645
75,RNN,30,64,2,0.1,0.0003,32,503.6259293094758,612.184938358893
76,GRU,30,64,2,0.1,0.001,32,503.80808971774195,649.9526271783062
77,GRU,30,32,2,0.0,0.0003,32,504.4974089591734,655.4849218819418
78,GRU,30,256,2,0.0,0.001,64,504.53146263860884,660.3476036154246
79,GRU,30,256,1,0.1,0.0001,32,504.67596238659274,637.8978437420516
80,GRU,30,128,2,0.2,0.0003,32,504.7023532006048,658.4152085592071
81,GRU,30,32,2,0.2,0.001,32,505.09786888860884,654.6124148174147
82,LSTM,30,256,1,0.0,0.001,32,505.2593482232863,647.0184211086053
83,GRU,30,256,2,0.1,0.0001,64,505.65175308719756,675.0770049133778
84,RNN,30,256,2,0.2,0.0001,32,505.69100459929433,644.045241159483
85,GRU,30,64,2,0.2,0.0001,32,506.1458700856855,665.8114945523325
86,LSTM,30,32,1,0.0,0.001,32,506.32888892389116,644.3982277937952
87,GRU,30,32,2,0.1,0.0003,32,506.33653603830646,655.3523857053189
88,RNN,30,256,1,0.2,0.0003,32,507.15719506048384,603.5126831923079
89,RNN,30,256,1,0.0,0.0001,32,507.21575730846774,639.1095027767814
90,LSTM,30,256,1,0.1,0.0003,32,507.34371849798384,672.4398222063495
91,GRU,30,128,1,0.1,0.001,32,507.7550560735887,617.010859386111
92,GRU,30,256,2,0.0,0.0003,64,507.87501575100805,669.5659858991506
93,RNN,30,256,1,0.2,0.0001,32,508.13729366179433,649.9539942595682
94,LSTM,30,64,1,0.0,0.0003,32,508.16420425907256,661.7600536852559
95,GRU,30,256,1,0.1,0.0003,32,508.3474593623992,638.0434846716627
96,GRU,30,256,1,0.1,0.001,32,508.7468025453629,607.4990873140512
97,GRU,30,64,2,0.0,0.0003,32,509.22772807459677,663.4399747853969
98,LSTM,30,256,2,0.0,0.0001,32,509.3214623235887,686.732675303787
99,GRU,30,128,1,0.2,0.0001,32,509.70577904485884,650.9788994015852
100,GRU,30,128,2,0.0,0.0001,32,509.8457503780242,667.0765249515838
101,RNN,30,256,2,0.2,0.0003,64,509.91763797883067,662.3896208062986
102,LSTM,30,256,2,0.1,0.001,64,510.518058530746,677.3623183918967
103,GRU,30,128,2,0.1,0.0003,64,510.6705755418347,668.4141805886409
104,LSTM,30,256,1,0.1,0.001,32,510.90887254284274,679.8542641635091
105,LSTM,30,64,1,0.1,0.001,32,511.74240013860884,675.8066290150923
106,LSTM,30,256,1,0.2,0.0003,32,511.815665952621,672.4653148719412
107,LSTM,30,128,1,0.0,0.001,32,511.85965064264116,651.8593205715725
108,RNN,30,128,2,0.0,0.001,32,511.8638167842742,618.2302013257881
109,RNN,30,256,1,0.1,0.0003,32,512.1989116053427,622.2452963166511
110,LSTM,30,64,2,0.0,0.001,32,512.3360556325605,685.3880477668204
111,LSTM,30,32,1,0.2,0.001,32,512.348884828629,680.0796489807759
112,RNN,30,32,2,0.0,0.0003,32,512.3587764616935,611.7367647343307
113,GRU,30,128,2,0.2,0.001,64,512.9642452116935,674.0203244196781
114,GRU,30,256,2,0.1,0.001,64,513.0794008316532,668.4099137987192
115,LSTM,30,256,2,0.1,0.0001,32,513.2044953377016,700.4306074976452
116,GRU,30,256,2,0.2,0.0001,64,513.4518255418346,679.1906910964037
117,GRU,30,256,2,0.0,0.0001,64,514.3749527469759,670.714593197968
118,RNN,30,256,2,0.2,0.001,64,514.9756961945565,651.5959140876691
119,LSTM,30,256,2,0.2,0.001,64,515.1119345388105,724.6142284458489
120,GRU,30,128,1,0.2,0.001,64,515.1323635962701,678.944664837975
121,GRU,30,128,1,0.2,0.0003,64,515.2450305569556,652.2809168175802
122,GRU,30,128,1,0.2,0.001,32,515.8309523059476,628.6013006804893
123,GRU,30,256,2,0.2,0.0003,64,515.9502189390121,700.4967223566871
124,LSTM,30,256,1,0.0,0.0001,64,516.0279895413306,707.1099230003687
125,LSTM,30,256,2,0.0,0.001,64,516.7459992439516,714.6840097469099
126,RNN,30,32,2,0.2,0.001,64,516.766097530242,632.9811780750327
127,GRU,30,64,2,0.1,0.0003,32,516.9515026461694,651.8010126057012
128,GRU,30,128,1,0.0,0.0001,64,516.995613344254,702.8525183655565
129,RNN,30,256,1,0.0,0.0003,32,517.1687326738911,644.4298818433247
